Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2009b)	boulder	Seon2009b-95	Seon2009b-S	KONG_6	38.642	74.995	3539	5	2.65	1	594000	16000	KNSTD	0	0	0	2007	11200	300	-	-	13061	776	353	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-96	Seon2009b-S	KONG_7	38.642	74.995	3542	5	2.65	1	604000	16000	KNSTD	0	0	0	2007	11400	300	-	-	13245	785	352	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-97	Seon2009b-T	KONG_8	38.640	75.003	3639	5	2.65	0.98	371000	11000	KNSTD	0	0	0	2007	6800	200	-	-	7952	482	236	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-98	Seon2009b-T	KONG_9	38.640	75.004	3637	5	2.65	0.98	366000	11000	KNSTD	0	0	0	2007	6700	200	-	-	7864	478	237	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-99	Seon2009b-T	KONG_10	38.640	75.004	3638	5	2.65	0.98	374000	11000	KNSTD	0	0	0	2007	6800	200	-	-	8015	485	236	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-100	Seon2009b-T	KONG_11	38.641	75.004	3639	5	2.65	0.98	372000	12000	KNSTD	0	0	0	2007	6800	200	-	-	7971	494	258	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-101	Seon2009b-T	KONG_12	38.641	75.004	3641	5	2.65	0.98	382000	11000	KNSTD	0	0	0	2007	7000	200	-	-	8160	491	235	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-102	Seon2009b-T	KONG_13	38.641	75.004	3652	5	2.65	0.98	373000	18000	KNSTD	0	0	0	2007	6700	300	-	-	7935	569	384	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-103	Seon2009b-U	KONG_14	38.644	75.041	4168	5	2.65	1	106000	11000	KNSTD	0	0	0	2007	1400	100	-	-	1748	204	181	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-104	Seon2009b-U	KONG_15	38.644	75.040	4178	5	2.65	1	57000	10000	KNSTD	0	0	0	2007	800	100	-	-	1025	188	180	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-105	Seon2009b-U	KONG_16	38.644	75.040	4179	5	2.65	1	104000	10000	KNSTD	0	0	0	2007	1400	100	-	-	1701	187	164	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-106	Seon2009b-U	KONG_17	38.643	75.039	4178	5	2.65	1	88000	11000	KNSTD	0	0	0	2007	1200	100	-	-	1453	197	182	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-107	Seon2009b-V	KONG_18	38.649	75.032	4057	5	2.65	1	247000	8000	KNSTD	0	0	0	2007	3500	100	-	-	4173	259	135	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-108	Seon2009b-V	KONG_19	38.649	75.032	4057	5	2.65	1	240000	9000	KNSTD	0	0	0	2007	3400	100	-	-	4034	261	151	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-109	Seon2009b-V	KONG_20	38.649	75.032	4060	5	2.65	1	235000	9000	KNSTD	0	0	0	2007	3300	100	-	-	3930	256	151	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-110	Seon2009b-V	KONG_21	38.645	75.031	4039	5	2.65	1	60000	6000	KNSTD	0	0	0	2007	900	100	-	-	1123	127	112	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-111	Seon2009b-V	KONG_22	38.645	75.031	4042	5	2.65	1	314000	10000	KNSTD	0	0	0	2007	4500	100	-	-	5301	327	169	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-112	Seon2009b-W	KONG_23	38.644	75.028	4008	5	2.65	1	195000	8000	KNSTD	0	0	0	2007	2800	100	-	-	3357	225	138	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-113	Seon2009b-W	KONG_24	38.643	75.028	4005	5	2.65	1	101000	7000	KNSTD	0	0	0	2007	1500	100	-	-	1831	160	127	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-114	Seon2009b-W	KONG_25	38.645	75.026	3999	5	2.65	1	224000	7000	KNSTD	0	0	0	2007	3300	100	-	-	3870	238	121	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-115	Seon2009b-W	KONG_26	38.645	75.026	3997	5	2.65	1	224000	8000	KNSTD	0	0	0	2007	3300	100	-	-	3875	247	139	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-116	Seon2009b-W	KONG_27	38.646	75.026	4000	5	2.65	1	157000	8000	KNSTD	0	0	0	2007	2300	100	-	-	2821	207	144	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-117	Seon2009b-W	KONG_28	38.646	75.026	4000	5	2.65	1	77000	6000	KNSTD	0	0	0	2007	1100	100	-	-	1406	132	110	-	-	-	-
