P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
02-SCOT-003-ARR	3.937	0.203	X	-	-	-
02-SCOT-004-ARR	4.278	0.221	X	29.807	2.211	X
02-SCOT-005-ARR	4.260	0.220	X	32.769	2.424	X
02-SCOT-006-ARR	4.061	0.226	X	29.215	2.149	X
02-SCOT-007-ARR	4.276	0.220	X	30.749	2.549	X
02-SCOT-008-ARR	4.121	0.212	X	28.389	1.885	X
06-HKY-05	4.123	0.212	X	29.656	1.933	X
06-HKY-06	4.167	0.218	X	29.733	1.938	X
06-HKY-07	4.107	0.212	X	29.849	1.946	X
06-HKY-08	4.115	0.212	X	29.108	1.898	X
06-HKY-10	4.132	0.213	X	30.833	2.010	X
06-HKY-11	4.236	0.218	X	30.816	2.009	X
BL07-01	3.416	0.112	X	23.218	1.200	X
BL07-02	3.840	0.126	X	26.813	1.385	X
BL07-03	3.648	0.120	X	25.539	1.319	X
SNV-01	4.351	0.406	X	-	-	-
SNV-02	2.004	0.068	-	-	-	-
SNV-03	4.274	0.176	-	-	-	-
SNV-04	3.940	0.198	X	-	-	-
SNV-05	3.891	0.190	X	-	-	-
SNV-06	3.849	0.179	X	-	-	-
SNV-07	4.030	0.137	X	-	-	-
SNV-08	2.697	0.128	-	-	-	-
RM-10-01	4.619	0.238	X	-	-	-
RM-10-02	4.206	0.217	X	-	-	-
RM-10-03	4.259	0.219	X	-	-	-
RM-10-06	4.330	0.223	X	-	-	-
RM-10-10	4.101	0.211	X	-	-	-
RM-10-11	4.098	0.211	X	-	-	-
RM-10-05	4.206	0.217	X	-	-	-
RM-10-09	4.048	0.218	X	-	-	-
RM-10-12	4.116	0.212	X	-	-	-
RM-10-04	4.425	0.228	X	-	-	-
RM-10-07	4.292	0.221	X	-	-	-
RM-10-08	4.208	0.219	X	-	-	-
RMOOR01	3.804	0.196	X	-	-	-
RMOOR02	3.869	0.199	X	-	-	-
RMOOR03	4.321	0.223	X	-	-	-
RMOOR04	3.943	0.203	X	-	-	-
RMOOR05	3.864	0.199	X	-	-	-
RMOOR06	4.108	0.212	X	-	-	-
SPICE-A1	3.892	0.209	X	25.538	2.085	X
SPICE-A2	4.090	0.230	X	25.652	2.127	X
SPICE-A3	4.083	0.221	X	26.150	1.473	X
SPICE-A4	4.056	0.224	X	26.629	1.784	X
SPICE-A5	4.045	0.223	X	24.818	3.095	X
SPICE-A6	4.012	0.224	X	28.570	2.446	X
SPICE-A7	4.037	0.224	X	27.327	2.903	X
SPICE-A8	4.170	0.232	X	26.968	3.074	X
SPICE-A9	4.084	0.226	X	24.677	2.405	X
SPICE-A10	4.282	0.235	X	26.087	2.640	X

site	P10(at/g/yr)	P10unc(at/g/yr)	P10-χ2R	P10-p-value	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-χ2R	P26-p-value	P26-included?
Littleton	4.412	0.179	0.631	0.788	X	30.526	1.951	1.121	0.341	X
Leverett	5.118	0.197	0.448	0.639	X	-	-	-	-	-
Cobblestone-Hill	3.992	0.280	0.754	0.606	X	-	-	-	-	-
Macaulay	4.023	0.067	0.101	0.996	X	-	-	-	-	-
Boundary-Stream	3.969	0.068	0.065	0.999	X	-	-	-	-	-
Grøtlandsura	3.635	0.157	0.684	0.505	X	-	-	-	-	-
Russenes	4.016	0.206	0.727	0.484	X	-	-	-	-	-
Herminita	4.084	0.179	0.657	0.780	X	-	-	-	-	-
Puerto-Bandera	4.149	0.144	0.416	0.893	X	-	-	-	-	-
Tasiussaq	3.876	0.299	0.149	0.980	X	-	-	-	-	-
Halsnøy	4.266	0.189	0.773	0.610	X	-	-	-	-	-
Oldedalen	4.023	0.260	1.305	0.259	X	-	-	-	-	-
Clyde-River	3.977	0.174	0.178	0.983	X	-	-	-	-	-
Marrait	3.935	0.047	0.047	0.996	X	-	-	-	-	-
Chironico	4.198	0.237	0.798	0.589	X	-	-	-	-	-
Huancané-II	3.766	0.164	0.729	0.827	X	26.979	1.395	0.962	0.469	X
Lake-Bonneville	4.117	0.083	0.061	0.998	X	28.607	1.279	0.303	0.911	X
Billingen	4.070	0.319	1.706	0.082	X	-	-	-	-	-
Glen-Roy	4.258	0.118	0.027	0.994	X	-	-	-	-	-
Azanaques	3.877	0.210	0.581	0.846	X	-	-	-	-	-
Coire-Fearchair	4.128	0.215	0.332	0.920	X	-	-	-	-	-
Corrie-nan-Arr	4.173	0.246	0.726	0.700	X	30.029	1.956	0.753	0.661	X
Maol-Chean-dearg	4.145	0.183	0.054	0.998	X	29.973	1.447	0.206	0.960	X
Baboon-Lake	3.750	0.254	1.842	0.075	X	25.010	1.896	2.042	0.130	X
Rannoch-Moor	4.138	0.273	1.025	0.426	X	-	-	-	-	-
SP-lava-flow	4.069	0.152	0.249	0.987	X	26.217	1.265	0.241	0.989	X

P-total	P(at/g/yr)	Punc(at/g/yr)
P10	4.08	0.26
P26	28.19	2.35
====================================================================================================

Output for 14C production rate calibration
====================================================================================================
